n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1974,Baja California,02,Total,1013303,1027166
1974,Baja California Sur,03,Hombres,82673,84737
1974,Baja California Sur,03,Mujeres,78369,80319
1974,Baja California Sur,03,Total,161042,165056
1974,Campeche,04,Hombres,162586,166495
1974,Campeche,04,Mujeres,159469,163320
1974,Campeche,04,Total,322055,329815
1974,Chiapas,07,Hombres,948487,960184
1974,Chiapas,07,Mujeres,917115,928017
1974,Chiapas,07,Total,1865602,1888201
1974,Chihuahua,08,Hombres,918215,926895
1974,Chihuahua,08,Mujeres,907470,917044
1974,Chihuahua,08,Total,1825685,1843939
1974,Ciudad de México,09,Hombres,3846765,3888776
1974,Ciudad de México,09,Mujeres,4089238,4134202
1974,Ciudad de México,09,Total,7936003,8022978
1974,Coahuila,05,Hombres,661825,671505
1974,Coahuila,05,Mujeres,649583,659708
1974,Coahuila,05,Total,1311408,1331213
1974,Colima,06,Hombres,144964,147415
1974,Colima,06,Mujeres,142908,145389
1974,Colima,06,Total,287872,292804
1974,Durango,10,Hombres,542243,547554
1974,Durango,10,Mujeres,525122,531001
1974,Durango,10,Total,1067365,1078555
1974,Estado de México,15,Hombres,2632378,2719287
1974,Estado de México,15,Mujeres,2593859,2681824
1974,Estado de México,15,Total,5226237,5401111
1974,Guanajuato,11,Hombres,1325929,1342395
1974,Guanajuato,11,Mujeres,1317502,1335053
1974,Guanajuato,11,Total,2643431,2677448
1974,Guerrero,12,Hombres,950012,961737
1974,Guerrero,12,Mujeres,944877,956209
1974,Guerrero,12,Total,1894889,1917946
1974,Hidalgo,13,Hombres,699194,706977
1974,Hidalgo,13,Mujeres,687480,694753
1974,Hidalgo,13,Total,1386674,1401730
1974,Jalisco,14,Hombres,1914587,1938857
1974,Jalisco,14,Mujeres,1950796,1976977
1974,Jalisco,14,Total,3865383,3915834
1974,Michoacán,16,Hombres,1339898,1351764
1974,Michoacán,16,Mujeres,1332013,1345387
1974,Michoacán,16,Total,2671911,2697151
1974,Morelos,17,Hombres,379148,386711
1974,Morelos,17,Mujeres,379144,386833
1974,Morelos,17,Total,758292,773544
1974,Nacional,00,Hombres,28627444,29047347
1974,Nacional,00,Mujeres,28620412,29049984
1974,Nacional,00,Total,57247856,58097331
1974,Nayarit,18,Hombres,320509,324670
1974,Nayarit,18,Mujeres,310399,314587
1974,Nayarit,18,Total,630908,639257
1974,Nuevo León,19,Hombres,1022032,1040430
1974,Nuevo León,19,Mujeres,1008591,1027127
1974,Nuevo León,19,Total,2030623,2067557
1974,Oaxaca,20,Hombres,1151683,1159582
1974,Oaxaca,20,Mujeres,1156841,1163941
1974,Oaxaca,20,Total,2308524,2323523
1974,Puebla,21,Hombres,1486828,1505380
1974,Puebla,21,Mujeres,1496453,1515635
1974,Puebla,21,Total,2983281,3021015
1974,Querétaro,22,Hombres,299794,305535
1974,Querétaro,22,Mujeres,296101,301804
1974,Querétaro,22,Total,595895,607339
1974,Quintana Roo,23,Hombres,70101,73379
1974,Quintana Roo,23,Mujeres,64541,67589
1974,Quintana Roo,23,Total,134642,140968
1974,San Luis Potosí,24,Hombres,755980,764700
1974,San Luis Potosí,24,Mujeres,740418,749425
1974,San Luis Potosí,24,Total,1496398,1514125
1974,Sinaloa,25,Hombres,770747,784023
1974,Sinaloa,25,Mujeres,739213,752405
1974,Sinaloa,25,Total,1509960,1536428
1974,Sonora,26,Hombres,651680,661233
1974,Sonora,26,Mujeres,638439,647397
1974,Sonora,26,Total,1290119,1308630
1974,Tabasco,27,Hombres,459282,466040
1974,Tabasco,27,Mujeres,444260,450864
1974,Tabasco,27,Total,903542,916904
1974,Tamaulipas,28,Hombres,839027,849388
1974,Tamaulipas,28,Mujeres,841380,852058
1974,Tamaulipas,28,Total,1680407,1701446
1974,Tlaxcala,29,Hombres,247846,250856
1974,Tlaxcala,29,Mujeres,241147,244375
1974,Tlaxcala,29,Total,488993,495231
1974,Veracruz,30,Hombres,2300232,2335986
1974,Veracruz,30,Mujeres,2265785,2302186
1974,Veracruz,30,Total,4566017,4638172
1974,Yucatán,31,Hombres,457477,464398
1974,Yucatán,31,Mujeres,453688,460470
1974,Yucatán,31,Total,911165,924868
1974,Zacatecas,32,Hombres,533231,537410
1974,Zacatecas,32,Mujeres,531498,536004
1974,Zacatecas,32,Total,1064729,1073414
1975,Aguascalientes,01,Hombres,214405,218624
1975,Aguascalientes,01,Mujeres,217927,222273
