date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Estado de México,15,Tepetlaoxtoc,15093,15231,15594,30825
2015,Estado de México,15,Tepetlixpa,15094,9869,10181,20050
2015,Estado de México,15,Tepotzotlán,15095,46804,48488,95292
2015,Estado de México,15,Tequixquiac,15096,18402,18710,37112
2015,Estado de México,15,Texcaltitlán,15097,9185,9859,19044
2015,Estado de México,15,Texcalyacac,15098,2646,2732,5378
2015,Estado de México,15,Texcoco,15099,121670,127217,248887
2015,Estado de México,15,Tezoyuca,15100,20178,20532,40710
2015,Estado de México,15,Tianguistenco,15101,37545,39675,77220
2015,Estado de México,15,Timilpan,15102,7819,8393,16212
2015,Estado de México,15,Tlalmanalco,15103,23848,25492,49340
2015,Estado de México,15,Tlalnepantla de Baz,15104,354544,378056,732600
2015,Estado de México,15,Tlatlaya,15105,17620,18547,36167
2015,Estado de México,15,Toluca,15106,428672,459371,888043
2015,Estado de México,15,Tonanitla,15125,5169,5307,10476
2015,Estado de México,15,Tonatico,15107,6193,6649,12842
2015,Estado de México,15,Tultepec,15108,72173,75174,147347
2015,Estado de México,15,Tultitlán,15109,262720,272744,535464
2015,Estado de México,15,Valle de Bravo,15110,32803,34154,66957
2015,Estado de México,15,Valle de Chalco Solidaridad,15122,194221,200306,394527
2015,Estado de México,15,Villa Guerrero,15113,32461,33771,66232
2015,Estado de México,15,Villa Victoria,15114,50350,51054,101404
2015,Estado de México,15,Villa de Allende,15111,25352,26236,51588
2015,Estado de México,15,Villa del Carbón,15112,23893,23708,47601
2015,Estado de México,15,Xalatlaco,15043,14160,14967,29127
2015,Estado de México,15,Xonacatlán,15115,25836,25964,51800
2015,Estado de México,15,Zacazonapan,15116,2140,2120,4260
2015,Estado de México,15,Zacualpan,15117,7425,8170,15595
2015,Estado de México,15,Zinacantepec,15118,90551,93337,183888
2015,Estado de México,15,Zumpahuacán,15119,8340,9081,17421
2015,Estado de México,15,Zumpango,15120,92610,99345,191955
2015,Guanajuato,11,Abasolo,11001,44270,47519,91789
2015,Guanajuato,11,Acámbaro,11002,55494,60399,115893
2015,Guanajuato,11,Apaseo el Alto,11004,33807,35505,69312
2015,Guanajuato,11,Apaseo el Grande,11005,44964,47731,92695
